#,Data,Área,Indicador,Valor atual,Meta,Status,Impacto,Comentário,Ação pendente,Prazo
196,Jun/2026,Comercial,Volume de vendas,1482.5,1239.3,Verde,Crítico,métrica não normalizada — comparação difícil,Propor plano de recuperação de 90 dias,Q10 26
197,22/04/2026,Controladoria/Fin,Custo por unidade,2024.6,1577.3,Em atenção,Crítico,cliente já sinalizou insatisfação sobre isso,Trazer dado externo pra benchmark,02/09/2026
198,23/05/2026,mkt digital,ROI campanhas,4072.2,3599.5,Vermelho,Alto,envolve 3 áreas — precisa dono claro,Alinhar meta trimestral com direção,Q10 26
199,2026-07-17,FIN,Custo por unidade,1137.9,1419.9,em analise,Alto,gerente anterior deixou sem tratamento,Renegociar contrato com fornecedor principal,10/2026
200,mês 02/26,SC,Ruptura de estoque,2452.7,1934.6,Em atenção,Baixo,auditoria externa questionou na última visita,Escalar pro comitê de Suprimentos,25-08
201,04/02/2026,IT,Uptime crítico,577.1,650.3,atenção,BAIXO,gerente anterior deixou sem tratamento,Escalar pro comitê de Operações,06/2026
202,19/06/2026,RH,Cobertura de treinamento,2590.2,3278.9,VERMELHO,Baixo,,Renegociar contrato com fornecedor principal,13-11
203,mês 05/26,,MTTR,4921.2,6365.1,Vermelho,Médio,gerente anterior deixou sem tratamento,Alinhar meta trimestral com direção,Q11 26
204,Jun/2026,TI,Chamados abertos,1560.3,1538.3,OK,,envolve 3 áreas — precisa dono claro,Alinhar meta trimestral com direção,
205,mês 06/26,sup.,Nível de estoque,4767.9,5588.5,OK,BAIXO,sinal fraco de reversão desde a última medição,Propor revisão do escopo do projeto,
206,mês 02/26,Vendas/Com,Novos clientes,4579.0,3278.1,verde,Médio,impacto direto no P&L do próximo trimestre,Investir em capacitação da equipe,10/2026
207,mês 03/26,Suprimentos,Redução de custo,2762.7,2527.8,atenção,Médio,área quer discutir a meta em revisão,,09/10/2026
208,23/04/2026,Finance,Despesa administrativa,1678.9,2029.7,crítico,Médio,cliente já sinalizou insatisfação sobre isso,Definir donos por indicador,Q10 26
209,2026-05-15,Tecnologia da Informação,Uptime crítico,1743.2,1503.1,AMARELO,Baixo,aguardando definição de budget,Propor plano de recuperação de 90 dias,Q09 26
210,mês 04/26,,Taxa de entrega no prazo,2772.8,2658.8,OK,,depende de decisão da matriz,Propor revisão do escopo do projeto,29-07
211,2026-04-05,Recursos Humanos,eNPS,4382.7,3905.2,ok,crít.,depende de decisão da matriz,Rodar piloto de 30 dias em 1 filial,07/2026
212,2026-02-04,COM,CAC,4529.8,4038.5,ok,Alto,área quer discutir a meta em revisão,Alinhar meta trimestral com direção,
213,11/06/2026,,Cobertura de treinamento,167.3,214.9,Amarelo,Médio,aguardando definição de budget,Preparar defesa da meta pro comitê,10/10/2026
214,09/03/2026,Operacional,Lead time,3652.4,4033.1,verde,Médio,risco de exposição em relatório trimestral,Rodar piloto de 30 dias em 1 filial,16-09
215,2026-05-26,Gestão de Pessoas,Absenteísmo,1719.0,1922.8,Verde,Alto,,Redefinir cadência de análise,31/10/2026
216,May/2026,Mkt,Custo por lead,3386.5,3926.7,AMARELO,Médio,,Investir em capacitação da equipe,
217,mês 03/26,IT,Aderência SLA,1556.9,1484.0,crítico,,meta pode estar defasada em relação ao mercado,Investir em capacitação da equipe,19/09/2026
218,Apr/2026,Vendas,Taxa de conversão,474.6,401.2,VERMELHO,Alto,depende de decisão da matriz,Trazer dado externo pra benchmark,18/07/2026
219,29/05/2026,mkt digital,Custo por lead,690.3,678.9,verde,medio,regulatório pode mudar em Q4,Reunião com fornecedor de contratos,18/07/2026
220,2026-03-03,MKT,ROI campanhas,1450.5,1321.5,Em análise,BAIXO,vinculado a projeto estratégico em curso,Automatizar coleta do dado,
221,Feb/2026,mkt digital,Alcance orgânico,1848.5,2187.3,Crítico,Médio,meta pode estar defasada em relação ao mercado,Reunião com fornecedor de reporting,11/11/2026
222,mês 05/26,Gestão de Pessoas,Turnover,2296.3,1662.1,Alerta,,envolve 3 áreas — precisa dono claro,Alinhar meta trimestral com direção,06/2026
223,24/01/2026,Financeiro,Despesa administrativa,3869.3,4837.3,ok,,vinculado a projeto estratégico em curso,Contratar analista sênior pra área,31/07/2026
224,mês 06/26,operacoes,Produtividade por linha,114.1,87.6,Verde,medio,compromisso assumido pela diretoria em Q3,Investir em capacitação da equipe,10/10/2026
225,Jul/2026,Com,Volume de vendas,1888.2,2357.6,Em atenção,ALTO,concorrência opera com número melhor,Automatizar coleta do dado,Q09 26
226,2026-07-12,Operacional,,2553.4,2868.0,Verde,Crítico,aparece nas últimas 3 reuniões de comitê,Alinhar meta trimestral com direção,
227,12/03/2026,mkt digital,Leads qualificados,1682.8,2111.1,Verde,BAIXO,regulatório pode mudar em Q4,Contratar consultoria externa pra diagnóstico,
228,May/2026,Marketing,Engajamento social,2743.0,2493.7,OK,BAIXO,risco de exposição em relatório trimestral,Escalar pro comitê de TI,22-09
229,mês 06/26,Compras,Prazo médio de entrega,1030.8,953.8,atenção,Alto,,Investir em capacitação da equipe,Q09 26
230,May/2026,SC,OTIF,4562.2,4750.9,AMARELO,medio,impacto direto no P&L do próximo trimestre,,Q08 26
231,10/07/2026,SC,OTIF,2263.4,2126.8,crítico,Médio,aguardando definição de budget,Alinhar leitura com par de outra área,Q10 26
232,29/04/2026,Financeiro,Margem operacional,1603.2,1493.5,ok,,depende de decisão da matriz,Automatizar coleta do dado,27-10
233,Jan/2026,sup.,Nível de estoque,2374.3,1756.2,verde,Crítico,aguardando definição de budget,Investir em capacitação da equipe,18-07
234,mês 07/26,operações,Lead time,839.6,994.7,Em atenção,Crítico,regulatório pode mudar em Q4,Investir em capacitação da equipe,
235,Feb/2026,marketing,ROI campanhas,3550.2,3288.5,crítico,Alto,impacto direto no P&L do próximo trimestre,Propor plano de recuperação de 90 dias,10/2026
236,mês 05/26,supply chain,,3533.5,4223.1,ok,,depende de decisão da matriz,Escalar pro comitê de Suprimentos,
237,Feb/2026,Sup,Nível de estoque,3755.7,3399.2,ok,BAIXO,cliente já sinalizou insatisfação sobre isso,Propor plano de recuperação de 90 dias,Q11 26
238,2026-06-30,Recursos Humanos,Aderência ao plano de desenvolvimento,2083.9,2588.6,Crítico,,gerente anterior deixou sem tratamento,Alinhar meta trimestral com direção,16/10/2026
239,2026-06-10,Tecnologia,Índice de vulnerabilidades,4619.7,4785.5,em analise,Alto,depende de decisão da matriz,Preparar defesa da meta pro comitê,
240,mês 01/26,IT,MTTR,943.1,808.3,AMARELO,,auditoria externa questionou na última visita,Preparar defesa da meta pro comitê,06-09
241,Feb/2026,Operações,OEE,4506.3,5638.5,Verde,,pode virar oportunidade se estruturado,Rodar piloto de 30 dias em 1 filial,07/11/2026
242,14/05/2026,Comercial,Pipeline qualificado,3157.7,2719.5,Vermelho,crít.,aparece nas últimas 3 reuniões de comitê,Alinhar leitura com par de outra área,
243,20/06/2026,Sup,Concentração de fornecedor,2905.6,3533.5,verde,,auditoria externa questionou na última visita,Alinhar leitura com par de outra área,08/10/2026
244,22/05/2026,sup.,Ruptura de estoque,4502.6,4683.7,Em análise,Alto,impacto direto no P&L do próximo trimestre,Redefinir cadência de análise,Q07 26
245,2026-01-26,Tecnologia da Informação,Tempo de recuperação,4531.5,3833.7,Verde,Baixo,,Redefinir cadência de análise,
246,2026-06-26,Operações,Lead time,4048.8,4588.9,Em análise,,impacto direto no P&L do próximo trimestre,Investir em capacitação da equipe,12/11/2026
247,Jan/2026,Finance,DSO (dias),1134.0,1228.1,Verde,crít.,diretoria quer entender causa raiz,,11/2026
248,Apr/2026,Sup,Nível de estoque,2360.0,2265.1,atenção,Crítico,depende de decisão da matriz,Revisar processo de aprovação com Operações,
249,13/06/2026,FIN,Margem operacional,723.8,622.3,OK,Crítico,compromisso assumido pela diretoria em Q3,Redefinir cadência de análise,
250,mês 02/26,Pessoas,Aderência ao plano de desenvolvimento,798.9,1005.8,OK,Crítico,,Reunião com fornecedor de dashboard,08/2026
251,mês 05/26,rh/pessoas,Cobertura de treinamento,3008.8,2548.1,VERMELHO,medio,aguardando definição de budget,Contratar consultoria externa pra diagnóstico,Q10 26
252,Jul/2026,Mkt,Engajamento social,155.5,187.8,OK,Alto,,,Q09 26
253,mês 01/26,Compras,OTIF,3383.1,2479.5,verde,Crítico,pode virar oportunidade se estruturado,Contratar analista sênior pra área,06/2026
254,2026-03-31,Operações,Lead time,2134.4,1835.8,em analise,,impacto direto no P&L do próximo trimestre,Propor plano de recuperação de 90 dias,08/11/2026
255,03/03/2026,comercial,Novos clientes,2533.9,2742.2,Alerta,medio,área quer discutir a meta em revisão,Definir donos por indicador,20/09/2026
256,19/03/2026,marketing,Leads qualificados,1590.3,1814.5,Em análise,,depende de decisão da matriz,Escalar pro comitê de TI,06/2026
257,2026-06-28,supply chain,Prazo médio de entrega,4099.5,4146.1,Alerta,medio,área quer discutir a meta em revisão,Redefinir cadência de análise,
258,2026-02-27,Finance,Despesa administrativa,221.3,163.4,Em atenção,Alto,meta pode estar defasada em relação ao mercado,Investir em capacitação da equipe,Q07 26
259,2026-05-26,sup.,Prazo médio de entrega,1759.1,1995.2,OK,Crítico,conselho pediu detalhe na reunião de novembro,Escalar pro comitê de RH,06/2026
260,mês 06/26,Fin,DSO (dias),4467.4,4023.7,verde,Alto,risco de exposição em relatório trimestral,Revisar processo de aprovação com Suprimentos,12/10/2026
261,09/04/2026,Vendas/Com,CAC,3144.4,4020.3,Em análise,,vinculado a projeto estratégico em curso,Redefinir cadência de análise,Q10 26
262,Jun/2026,Vendas/Com,,973.3,968.9,Alerta,BAIXO,aparece nas últimas 3 reuniões de comitê,Redefinir cadência de análise,
263,mês 05/26,Comercial,Ticket médio,2779.4,3330.1,OK,,auditoria vai voltar em 45 dias,Revisar processo de aprovação com Marketing,09/2026
264,Jun/2026,ti,MTTR,636.2,530.1,Crítico,Baixo,sinal fraco de reversão desde a última medição,Propor revisão do escopo do projeto,21/08/2026
265,16/05/2026,SC,Redução de custo,4602.9,5935.6,AMARELO,,cliente já sinalizou insatisfação sobre isso,,28-09
266,2026-02-07,Comercial,Ticket médio,3149.2,2557.5,OK,,vinculado a projeto estratégico em curso,,24/09/2026
267,Mar/2026,Operacional,Lead time,672.5,849.5,Verde,,,Alinhar meta trimestral com direção,Q06 26
268,mês 01/26,marketing,ROI campanhas,619.0,595.0,ok,Médio,risco de exposição em relatório trimestral,Rodar piloto de 30 dias em 1 filial,Q07 26
269,2026-01-29,Compras,Prazo médio de entrega,4719.7,4245.2,AMARELO,crít.,cliente já sinalizou insatisfação sobre isso,Alinhar meta trimestral com direção,06-11
270,mês 05/26,Comercial,Ticket médio,2010.0,1848.5,OK,BAIXO,depende de decisão da matriz,,06/2026
271,2026-03-05,Mkt,Engajamento social,98.9,104.3,crítico,ALTO,pode virar oportunidade se estruturado,Propor plano de recuperação de 90 dias,Q06 26
272,mês 05/26,IT,MTTR,4765.0,3949.2,OK,,conselho pediu detalhe na reunião de novembro,Contratar consultoria externa pra diagnóstico,Q07 26
273,mês 06/26,ti,,1437.8,1751.1,OK,Crítico,pode virar oportunidade se estruturado,Alinhar meta trimestral com direção,Q08 26
274,2026-02-19,T.I.,Cobertura de backup,1958.8,1625.9,crítico,Alto,pode virar oportunidade se estruturado,Alinhar leitura com par de outra área,Q08 26
275,22/03/2026,,Prazo médio de entrega,853.7,976.5,atenção,medio,vinculado a projeto estratégico em curso,Rodar piloto de 30 dias em 1 filial,14/11/2026
276,Mar/2026,Financeiro,Margem operacional,4283.0,3258.4,Em atenção,Baixo,auditoria vai voltar em 45 dias,,
277,06/03/2026,marketing,ROI campanhas,677.0,606.1,Verde,ALTO,sinal fraco de reversão desde a última medição,Contratar consultoria externa pra diagnóstico,Q06 26
278,2026-03-10,Gestão de Pessoas,eNPS,3886.8,2923.2,VERMELHO,medio,impacto direto no P&L do próximo trimestre,Renegociar contrato com fornecedor principal,08/2026
279,mês 03/26,Financeiro,Custo por unidade,4666.8,5694.1,verde,Médio,vinculado a projeto estratégico em curso,Preparar defesa da meta pro comitê,15/11/2026
280,28/06/2026,SC,Prazo médio de entrega,1577.7,1946.7,Crítico,BAIXO,envolve 3 áreas — precisa dono claro,Trazer dado externo pra benchmark,
281,May/2026,Controladoria/Fin,Prazo médio de pagamento,2634.7,3106.6,ok,Alto,conselho pediu detalhe na reunião de novembro,Preparar defesa da meta pro comitê,16-10
282,2026-01-31,operacoes,Tempo médio de setup,1977.6,2368.4,Verde,crít.,área quer discutir a meta em revisão,Rodar piloto de 30 dias em 1 filial,
283,mês 04/26,Vendas/Com,Novos clientes,3240.7,3685.5,crítico,,,Contratar consultoria externa pra diagnóstico,09/2026
284,mês 06/26,ti,Chamados abertos,169.9,209.3,Em atenção,ALTO,melhorou nos últimos 2 meses,Renegociar contrato com fornecedor principal,
285,2026-06-11,Pessoas,Cobertura de treinamento,2737.1,2697.9,ok,Baixo,auditoria externa questionou na última visita,Contratar analista sênior pra área,Q10 26
286,09/03/2026,Compras,Prazo médio de entrega,2100.4,1803.0,VERMELHO,,concorrência opera com número melhor,Redefinir cadência de análise,
287,01/05/2026,mkt digital,CAC digital,2988.2,3673.9,Em análise,,,Investir em capacitação da equipe,11/2026
288,2026-06-24,RH,Absenteísmo,3352.0,4132.5,Vermelho,ALTO,aguardando definição de budget,Redefinir cadência de análise,11/07/2026
289,15/03/2026,TI,Aderência SLA,2211.7,2425.9,Em análise,BAIXO,aparece nas últimas 3 reuniões de comitê,Propor plano de recuperação de 90 dias,06/11/2026
290,26/06/2026,mkt digital,CAC digital,415.1,384.8,VERMELHO,,pode virar oportunidade se estruturado,Propor revisão do escopo do projeto,
291,Feb/2026,sup.,Redução de custo,3211.3,2708.7,Amarelo,Baixo,diretoria quer entender causa raiz,Trazer dado externo pra benchmark,28-09
292,2026-04-07,Gestão de Pessoas,,3632.5,3632.8,Vermelho,crít.,meta pode estar defasada em relação ao mercado,Propor revisão do escopo do projeto,
293,2026-06-08,Vendas,Novos clientes,4537.5,4128.7,em analise,ALTO,depende de decisão da matriz,Automatizar coleta do dado,11/2026
294,2026-02-15,Suprimentos,Nível de estoque,3000.2,3079.1,ok,Alto,aparece nas últimas 3 reuniões de comitê,Alinhar meta trimestral com direção,
295,15/03/2026,Mkt,Engajamento social,1738.8,1442.2,AMARELO,ALTO,,Alinhar leitura com par de outra área,
296,,,,,,,,,,
297,mês 02/26,IT,MTTR,3458.8,2933.7,em analise,Alto,auditoria externa questionou na última visita,Propor plano de recuperação de 90 dias,
298,04/03/2026,rh/pessoas,eNPS,4260.5,4746.0,Vermelho,ALTO,sinal fraco de reversão desde a última medição,,10/2026
299,2026-06-28,Gestão de Pessoas,Aderência ao plano de desenvolvimento,425.8,417.3,Verde,Baixo,gerente anterior deixou sem tratamento,Trazer dado externo pra benchmark,09/2026
300,07/05/2026,Vendas/Com,Ticket médio,4175.0,5220.6,Amarelo,,pode virar oportunidade se estruturado,Contratar analista sênior pra área,10/2026
301,2026-07-12,SC,Ruptura de estoque,407.0,333.3,Em atenção,crít.,aparece nas últimas 3 reuniões de comitê,Trazer dado externo pra benchmark,08/2026
302,Jan/2026,MKT,Custo por lead,3355.2,3737.2,Em atenção,Baixo,aguardando definição de budget,Propor revisão do escopo do projeto,Q08 26
303,24/06/2026,Gestão de Pessoas,Absenteísmo,1980.8,2063.8,Alerta,Baixo,aguardando definição de budget,Propor revisão do escopo do projeto,09/2026
304,Jun/2026,Controladoria/Fin,Fluxo de caixa mensal,3133.7,2586.5,Em atenção,crít.,auditoria vai voltar em 45 dias,Alinhar meta trimestral com direção,Q07 26
305,Apr/2026,Marketing,ROI campanhas,2623.5,2959.8,Em atenção,ALTO,aguardando definição de budget,Alinhar meta trimestral com direção,30/07/2026
306,25/01/2026,Tecnologia,Tempo de recuperação,3941.2,4190.9,AMARELO,BAIXO,auditoria externa questionou na última visita,Preparar defesa da meta pro comitê,
307,2026-05-11,mkt digital,Custo por lead,4365.3,4255.4,Amarelo,crít.,conselho pediu detalhe na reunião de novembro,,20/08/2026
308,Feb/2026,Finance,Despesa administrativa,2289.4,2321.3,Em análise,ALTO,,,16/10/2026
309,mês 01/26,,,4619.2,5505.8,verde,crít.,compromisso assumido pela diretoria em Q3,Propor revisão do escopo do projeto,
310,2026-05-20,Fin,Custo por unidade,523.4,508.8,OK,Crítico,aparece nas últimas 3 reuniões de comitê,Renegociar contrato com fornecedor principal,10/2026
311,mês 01/26,Comercial,Churn,1264.9,1179.7,ok,ALTO,conselho pediu detalhe na reunião de novembro,Propor plano de recuperação de 90 dias,Q08 26
312,Jul/2026,Mkt,Leads qualificados,2674.8,2062.6,Em atenção,Baixo,auditoria externa questionou na última visita,Contratar consultoria externa pra diagnóstico,26-08
313,mês 05/26,ti,Uptime crítico,4132.6,3062.0,Em atenção,Alto,métrica não normalizada — comparação difícil,Escalar pro comitê de Financeiro,24/08/2026
314,03/06/2026,MKT,,4710.3,3709.7,crítico,,gerente anterior deixou sem tratamento,Revisar processo de aprovação com Operações,03/10/2026
315,02/03/2026,supply chain,Redução de custo,1833.4,1905.3,Amarelo,Baixo,concorrência opera com número melhor,Alinhar leitura com par de outra área,08-11
316,Jul/2026,mkt digital,Custo por lead,1068.4,957.0,Em atenção,ALTO,melhorou nos últimos 2 meses,Redefinir cadência de análise,23-08
317,Mar/2026,Operações,Tempo médio de setup,3639.7,3645.5,AMARELO,,risco de exposição em relatório trimestral,Trazer dado externo pra benchmark,10/2026
318,2026-05-03,Tecnologia da Informação,Uptime crítico,1827.3,2150.6,crítico,,métrica não normalizada — comparação difícil,Trazer dado externo pra benchmark,
319,mês 01/26,Operacional,Tempo médio de setup,1905.1,2414.5,verde,Médio,envolve 3 áreas — precisa dono claro,Propor plano de recuperação de 90 dias,
320,,,,,,,,,,
321,2026-07-13,Tecnologia da Informação,Cobertura de backup,3594.2,3890.4,Em atenção,Alto,impacto direto no P&L do próximo trimestre,Trazer dado externo pra benchmark,04/08/2026
322,mês 05/26,Compras,Concentração de fornecedor,2914.4,3353.9,Crítico,Médio,depende de decisão da matriz,Alinhar meta trimestral com direção,23/09/2026
323,2026-01-24,,Fluxo de caixa mensal,4948.0,3583.1,Vermelho,BAIXO,,Revisar processo de aprovação com Financeiro,
324,2026-07-02,Op,Refugo (%),3711.8,4157.8,ok,,métrica não normalizada — comparação difícil,,27-06
325,Mar/2026,MKT,ROI campanhas,3669.1,4532.6,Em atenção,Alto,compromisso assumido pela diretoria em Q3,Preparar defesa da meta pro comitê,15-11
326,2026-03-04,Ops,Produtividade por linha,4465.9,3674.8,Alerta,,envolve 3 áreas — precisa dono claro,Alinhar meta trimestral com direção,09/2026
327,mês 05/26,Ops,OEE,2969.3,3851.2,verde,Alto,conselho pediu detalhe na reunião de novembro,,22-06
328,Jun/2026,Compras,Redução de custo,827.1,760.4,atenção,Alto,métrica não normalizada — comparação difícil,,07/2026
329,mês 05/26,Recursos Humanos,Aderência ao plano de desenvolvimento,2876.9,3548.0,atenção,ALTO,vinculado a projeto estratégico em curso,Contratar analista sênior pra área,06-09
330,May/2026,Mkt,,4724.8,4533.2,crítico,ALTO,,Renegociar contrato com fornecedor principal,
331,mês 06/26,MKT,Custo por lead,3212.8,3575.5,AMARELO,Médio,pode virar oportunidade se estruturado,Escalar pro comitê de Suprimentos,07/2026
332,2026-05-02,Compras,Nível de estoque,3663.6,4209.9,Amarelo,Alto,,Propor plano de recuperação de 90 dias,26-10
333,2026-04-23,comercial,Volume de vendas,3540.7,4342.4,VERMELHO,Alto,compromisso assumido pela diretoria em Q3,Renegociar contrato com fornecedor principal,Q11 26
334,Mar/2026,marketing,Custo por lead,2509.1,2343.1,atenção,,aparece nas últimas 3 reuniões de comitê,Revisar processo de aprovação com Operações,Q08 26
335,2026-06-12,marketing,Leads qualificados,3610.9,3428.6,Vermelho,Médio,,Trazer dado externo pra benchmark,Q08 26
336,28/06/2026,Tecnologia,Índice de vulnerabilidades,3692.6,4000.3,Vermelho,medio,aparece nas últimas 3 reuniões de comitê,,
337,08/07/2026,Controladoria/Fin,EBITDA,710.6,543.6,ok,ALTO,auditoria externa questionou na última visita,Reunião com fornecedor de sistema,
338,mês 04/26,r.h.,Tempo médio de contratação,4366.3,4903.8,AMARELO,BAIXO,depende de decisão da matriz,Renegociar contrato com fornecedor principal,Q11 26
339,Jun/2026,FIN,EBITDA,4936.2,3821.1,em analise,Médio,sinal fraco de reversão desde a última medição,Trazer dado externo pra benchmark,06/2026
340,Mar/2026,Mkt,Custo por lead,494.1,623.6,Amarelo,crít.,diretoria quer entender causa raiz,Definir donos por indicador,10/2026
341,2026-01-31,IT,Índice de vulnerabilidades,628.3,590.9,Amarelo,medio,área quer discutir a meta em revisão,Renegociar contrato com fornecedor principal,16/09/2026
342,mês 01/26,Controladoria/Fin,Custo por unidade,1188.4,864.7,ok,BAIXO,envolve 3 áreas — precisa dono claro,Renegociar contrato com fornecedor principal,11-10
343,09/02/2026,Suprimentos,Redução de custo,3186.6,2687.6,Amarelo,ALTO,cliente já sinalizou insatisfação sobre isso,,03/06/2026
344,mês 02/26,,CAC digital,2412.9,2531.9,Em análise,,vinculado a projeto estratégico em curso,Redefinir cadência de análise,Q09 26
345,Apr/2026,Marketing,Engajamento social,1798.9,1501.4,VERMELHO,Médio,auditoria externa questionou na última visita,Automatizar coleta do dado,
346,13/05/2026,operações,Índice de retrabalho,368.8,459.0,Em análise,crít.,conselho pediu detalhe na reunião de novembro,Investir em capacitação da equipe,09/2026
347,Jul/2026,Marketing,Engajamento social,3291.5,3223.6,Verde,Médio,meta pode estar defasada em relação ao mercado,Preparar defesa da meta pro comitê,21-07
348,,,,,,,,,,
349,2026-04-14,Tecnologia,Chamados abertos,2880.8,2134.1,OK,Baixo,regulatório pode mudar em Q4,Definir donos por indicador,Q07 26
350,02/06/2026,IT,Chamados abertos,2476.9,2274.4,AMARELO,,,Rodar piloto de 30 dias em 1 filial,
351,mês 06/26,Tecnologia,Cobertura de backup,832.1,1068.6,VERMELHO,ALTO,compromisso assumido pela diretoria em Q3,Renegociar contrato com fornecedor principal,Q09 26
352,Feb/2026,Marketing,Engajamento social,3710.6,2958.4,Em análise,,concorrência opera com número melhor,Alinhar meta trimestral com direção,
353,Jan/2026,,DSO (dias),4633.7,3883.6,ok,,diretoria quer entender causa raiz,Revisar processo de aprovação com Comercial,
354,Apr/2026,Operacional,Produtividade por linha,3154.1,3773.9,Alerta,Baixo,gerente anterior deixou sem tratamento,Contratar analista sênior pra área,30-07
355,mês 02/26,supply chain,OTIF,1665.4,1614.9,Crítico,ALTO,depende de decisão da matriz,Renegociar contrato com fornecedor principal,14/09/2026
356,15/02/2026,Fin,Custo por unidade,4227.0,3142.3,OK,Crítico,depende de decisão da matriz,Reunião com fornecedor de orçamento,10/2026
357,02/04/2026,supply chain,Prazo médio de entrega,716.9,735.2,OK,,meta pode estar defasada em relação ao mercado,,Q09 26
358,mês 06/26,mkt digital,ROI campanhas,4259.0,3318.6,OK,medio,cliente já sinalizou insatisfação sobre isso,Contratar consultoria externa pra diagnóstico,Q08 26
359,Jul/2026,Gestão de Pessoas,Índice de acidentes,4886.3,4957.1,Em análise,,pode virar oportunidade se estruturado,,07/2026
360,mês 05/26,Tecnologia,Aderência SLA,4451.5,3654.3,VERMELHO,Alto,auditoria externa questionou na última visita,,Q06 26
361,29/06/2026,Fin,Margem operacional,4253.7,3830.5,VERMELHO,Crítico,cliente já sinalizou insatisfação sobre isso,Preparar defesa da meta pro comitê,09/2026
362,,,,,,,,,,
363,2026-03-29,COM,Pipeline qualificado,697.4,799.2,Verde,Crítico,pode virar oportunidade se estruturado,Reunião com fornecedor de sistema,Q06 26
364,Jun/2026,Vendas,Ticket médio,1514.9,1953.0,Vermelho,Alto,aguardando definição de budget,,21-07
365,Apr/2026,Suprimentos,Concentração de fornecedor,1362.1,961.0,crítico,medio,aguardando definição de budget,Revisar processo de aprovação com Financeiro,04-09
366,Mar/2026,SC,Prazo médio de entrega,3873.0,3946.7,OK,Crítico,diretoria quer entender causa raiz,Alinhar leitura com par de outra área,
367,Apr/2026,Vendas,Volume de vendas,1529.0,1958.6,em analise,,auditoria externa questionou na última visita,,
368,mês 01/26,Pessoas,Índice de acidentes,4849.0,6169.8,Crítico,Baixo,área quer discutir a meta em revisão,Revisar processo de aprovação com TI,07-06
369,2026-01-22,sup.,Redução de custo,1117.0,1052.7,ok,Alto,impacto direto no P&L do próximo trimestre,,Q10 26
370,2026-02-03,Operacional,Tempo médio de setup,2815.4,2947.9,ok,Crítico,,Rodar piloto de 30 dias em 1 filial,Q07 26
371,mês 03/26,Vendas,Churn,279.0,294.0,Em atenção,ALTO,concorrência opera com número melhor,Escalar pro comitê de Marketing,13-08
372,mês 07/26,IT,Aderência SLA,1979.0,1399.2,OK,Alto,métrica não normalizada — comparação difícil,Investir em capacitação da equipe,
373,mês 04/26,Pessoas,Turnover,4032.3,3096.0,VERMELHO,ALTO,auditoria vai voltar em 45 dias,Escalar pro comitê de Comercial,Q06 26
374,2026-05-15,FIN,Margem operacional,1892.6,1529.6,OK,,compromisso assumido pela diretoria em Q3,Propor revisão do escopo do projeto,20/10/2026
375,mês 02/26,r.h.,Índice de acidentes,2776.6,2648.3,Vermelho,BAIXO,,Propor plano de recuperação de 90 dias,
376,Apr/2026,comercial,,329.8,254.7,ok,crít.,sinal fraco de reversão desde a última medição,Renegociar contrato com fornecedor principal,01-10
377,May/2026,Operações,OEE,350.9,420.8,Alerta,Baixo,vinculado a projeto estratégico em curso,Contratar analista sênior pra área,09-10
378,2026-04-16,Compras,Nível de estoque,2471.2,2503.4,Vermelho,BAIXO,cliente já sinalizou insatisfação sobre isso,Trazer dado externo pra benchmark,08/2026
379,2026-02-22,marketing,Engajamento social,1451.5,1163.6,ok,ALTO,vinculado a projeto estratégico em curso,Redefinir cadência de análise,09-11
380,mês 02/26,Com,CAC,1716.4,2005.5,Em análise,Médio,melhorou nos últimos 2 meses,Preparar defesa da meta pro comitê,
381,Mar/2026,Vendas,CAC,3311.8,3617.8,Alerta,ALTO,concorrência opera com número melhor,Propor plano de recuperação de 90 dias,01/11/2026
382,14/06/2026,MKT,Alcance orgânico,4808.1,6209.6,Amarelo,BAIXO,,Propor plano de recuperação de 90 dias,Q06 26
383,2026-04-01,Compras,OTIF,562.4,567.1,atenção,crít.,gerente anterior deixou sem tratamento,Contratar analista sênior pra área,Q07 26
384,2026-04-16,,MTTR,890.0,775.6,verde,ALTO,cliente já sinalizou insatisfação sobre isso,Escalar pro comitê de Operações,20/10/2026
385,2026-03-12,Op,Tempo médio de setup,4082.8,4178.0,OK,ALTO,depende de decisão da matriz,Alinhar meta trimestral com direção,09/2026
386,21/05/2026,mkt digital,ROI campanhas,1990.8,1876.5,verde,,cliente já sinalizou insatisfação sobre isso,Alinhar meta trimestral com direção,12/09/2026
387,Apr/2026,,Alcance orgânico,1889.5,1652.9,OK,Baixo,pode virar oportunidade se estruturado,Renegociar contrato com fornecedor principal,06/2026
388,03/06/2026,operações,OEE,2023.9,2053.1,VERMELHO,Médio,sinal fraco de reversão desde a última medição,Investir em capacitação da equipe,16-10
389,2026-04-17,ti,Uptime crítico,2332.3,1648.2,verde,ALTO,auditoria externa questionou na última visita,Reunião com fornecedor de contratações,Q08 26
390,Jun/2026,Tecnologia,Uptime crítico,1331.6,1716.7,OK,Baixo,compromisso assumido pela diretoria em Q3,Contratar consultoria externa pra diagnóstico,
391,2026-03-22,TI,Uptime crítico,1527.9,1485.2,Em atenção,Alto,auditoria vai voltar em 45 dias,Propor revisão do escopo do projeto,Q10 26
392,Mar/2026,OPS,Refugo (%),4706.1,5089.9,atenção,,vinculado a projeto estratégico em curso,Propor revisão do escopo do projeto,08/2026
393,,,,,,,,,,
